username,author_id,tweet_id,texto,text
Parisi_oficial,1350131775020933120,1461079546053201920,@Parisi_oficial Un candidato de derecha citando a un diario de derecha,@Parisi_oficial A right-wing candidate quoting a right-wing newspaper
Parisi_oficial,2683083434,1461078436836003847,@Parisi_oficial Le hacemos caso a la vaquita ?  #ParisiA2Vuelta #Parisi #Elecciones2021CL https,@Parisi_oficial Do we listen to the vaquita?   #ParisiA2Vuelta #Parisi #Elecciones2021CL https
Parisi_oficial,1186380600829186048,1461074513634889728,@Parisi_oficial https,@Parisi_oficial https
Parisi_oficial,749435097103859712,1461074255899201544,@Parisi_oficial #ParisiA2Vuelta y nada másss,@Parisi_oficial #ParisiA2Vuelta and nothing else
Parisi_oficial,2263986663,1461074000474378243,@Parisi_oficial VOTE 7 VOTE INTELIGENTE #ParisiPasoABoric  #ParisiA2Vuelta  #ParisiPresidente2022 ,@Parisi_oficial VOTE 7 VOTE SMART #ParisiPasoABoric  #ParisiA2Vuelta  #ParisiPresidente2022 
Parisi_oficial,200730366,1461070281347420167,@Parisi_oficial Supongo que ya tienes los pasajes comprados para volver a chile si pasas a segunda vuelta o de nuevo se viene el circo ?,@Parisi_oficial I guess you already have the tickets purchased to return to Chile if you go to the second round or the circus comes again?
Parisi_oficial,2449705759,1461069398878212096,@Parisi_oficial Deja de resistirte y paga la pensión de tus hijos..,@Parisi_oficial Stop resisting and pay your children's pension.
Parisi_oficial,42901367,1461068773989892097,@Parisi_oficial Cuando llegas?,@Parisi_oficial When do you arrive?
Parisi_oficial,816156097472057348,1461068702246334469,@Parisi_oficial Y va asumir la Presidencia por zoom?,@Parisi_oficial And is he going to take over the presidency by zoom?
Parisi_oficial,749435097103859712,1461073511200477184,@Parisi_oficial  #ParisiA2Vuelta #ElProfeParisiNoEstáSolo,@Parisi_oficial #ParisiA2Vuelta #ElProfeParisiNoEstáSolo
Parisi_oficial,1259571611272912899,1461076007994208262,@Parisi_oficial Hay que eliminar rentas vitalicias a presidentes de una sola vez,@Parisi_oficial We have to eliminate annuities for presidents in one fell swoop
Parisi_oficial,749435097103859712,1461072687879671808,@Parisi_oficial saqueo hace rato #ParisiA2Vuelta,@Parisi_oficial looting long ago #ParisiA2Vuelta
Parisi_oficial,1420212415300517888,1461065254662811656,@Parisi_oficial Ahhh pero según algunos incautos no conoces la realidad del país.  #ParisiA2davuelta  #FrancoAmigoDeMediosRegionales,@Parisi_oficial Ahhh but according to some unwary people you don't know the reality of the country.  #ParisiA2davuelta  #FrancoAmigoDeMediosRegionales
Parisi_oficial,1402271911816708100,1461063605936214016,@Parisi_oficial Vi el programa y eso es saqueo  acaparandose del agua que debería ser un derecho no un bien de consumo  y lo peor que eso lo poseen grupos del poder  la política nunca fue su vocación solo fue un lucro más  por eso Voto 7 y lista AB  para que esto no siga ocurriendo,@Parisi_oficial I saw the program and that is looting  hoarding the water that should be a right not a consumer good  and the worst thing that is owned by power groups  politics was never their vocation  it was only one more profit  that is why Vote 7 and list AB  so that this does not continue to happen
Parisi_oficial,1186813308067864576,1461062216120029186,@Parisi_oficial Saqueo... Obvio,@Parisi_oficial Plunder... Obvious
Parisi_oficial,749435097103859712,1461069137208348673,@Parisi_oficial pura genialidad  #ParisiA2Vuelta,@Parisi_oficial pure genius #ParisiA2Vuelta
Parisi_oficial,1333633530371379202,1461063368513658880,@Parisi_oficial paertido,@Parisi_oficial match
Parisi_oficial,1186154031930064897,1461061220316946435,@Parisi_oficial @Parisi_oficial Los bots no votan. https,@Parisi_oficial @Parisi_oficial Bots don't vote. https
Parisi_oficial,161406285,1461059125664755714,@Parisi_oficial https,@Parisi_oficial https
Parisi_oficial,1443863871874347008,1461057681968578564,@Parisi_oficial SE SIENTE...SE SIENTE....PARISI PRESIDENTE....PERO....DE LA JUNTA DE VECINOS. https,@Parisi_oficial FEELS... FEELS... PARISI PRESIDENT... BUT... OF THE NEIGHBORING BOARD. https
Parisi_oficial,1272294464141381639,1461056672487649284,@Parisi_oficial https,@Parisi_oficial https
Parisi_oficial,140953488,1461056124610875411,@Parisi_oficial un llamado de laaaarga distancia Internacional sip jajaja,@Parisi_oficial a call from laaaarga distance International yep hahaha
Parisi_oficial,1347696434682986496,1461069015921532929,@Parisi_oficial Hay estaremos con el n 7 como en la vez que fue candidato,@Parisi_oficial There are we will be with n 7 as in the time he was a candidate
